Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result
1,6,55,57,76,56,Fail
2,9,55,58,97,76,Fail
3,3,55,69,44,89,Fail
4,6,60,63,88,54,Pass
5,7,71,55,54,80,Pass
6,4,64,40,48,98,Pass
7,4,73,55,87,74,Pass
8,7,70,73,72,41,Fail
9,5,81,75,59,53,Pass
10,3,81,60,99,63,Pass
11,5,53,50,85,51,Fail
12,1,67,73,82,33,Fail
13,9,79,93,96,41,Fail
14,7,51,97,37,77,Fail
15,9,85,92,39,91,Pass
16,6,58,50,44,98,Fail
17,1,55,75,64,85,Fail
18,9,81,35,62,73,Pass
19,7,46,50,71,74,Fail
20,6,42,75,64,78,Fail
21,9,81,41,83,57,Pass
22,9,58,78,40,55,Fail
23,9,84,58,85,56,Pass
24,3,59,66,92,54,Fail
25,3,74,33,73,55,Pass
26,9,85,61,65,78,Pass
27,4,85,42,45,89,Pass
28,3,52,67,92,34,Fail
29,5,93,60,37,38,Fail
30,3,82,91,40,94,Pass
31,1,54,78,42,83,Fail
32,1,85,79,66,76,Pass
33,3,87,59,34,83,Pass
34,6,63,44,37,40,Fail
35,2,48,61,90,89,Fail
36,6,66,40,41,66,Pass
37,5,87,55,99,61,Pass
38,4,81,64,57,71,Pass
39,4,54,45,58,63,Fail
40,8,88,82,45,31,Fail
41,4,98,46,38,83,Pass
42,1,69,55,36,78,Pass
43,9,68,84,49,52,Pass
44,8,95,79,84,96,Pass
45,8,48,78,74,80,Fail
46,6,79,73,90,37,Fail
47,8,46,63,89,39,Fail
48,7,86,43,48,40,Fail
49,7,76,68,32,45,Fail
50,9,87,68,34,73,Pass
51,5,40,59,94,89,Fail
52,9,55,33,31,56,Fail
53,2,55,94,30,91,Fail
54,1,53,67,61,81,Fail
55,9,54,62,64,38,Fail
56,7,72,71,92,66,Pass
57,5,49,92,69,33,Fail
58,4,94,97,87,57,Pass
59,9,89,87,72,68,Pass
60,7,87,48,43,94,Pass
61,3,91,31,42,63,Pass
62,3,76,59,73,95,Pass
63,8,71,34,68,39,Fail
64,6,66,36,88,57,Pass
65,9,56,75,81,31,Fail
66,7,61,75,70,50,Pass
67,4,42,65,96,47,Fail
68,3,71,72,61,63,Pass
69,8,83,83,50,54,Pass
70,7,46,90,93,38,Fail
71,4,67,47,72,46,Fail
72,8,61,45,91,51,Pass
73,9,41,62,81,40,Fail
74,3,86,77,77,53,Pass
75,7,99,33,36,42,Fail
76,2,55,78,82,38,Fail
77,2,53,35,75,65,Fail
78,4,61,78,67,73,Pass
79,6,72,53,71,40,Fail
80,7,78,33,71,78,Pass
81,8,76,93,66,97,Pass
82,5,62,81,71,30,Fail
83,5,42,82,39,81,Fail
84,9,76,85,99,56,Pass
85,6,53,37,81,57,Fail
86,5,64,68,91,76,Pass
87,6,58,72,60,63,Fail
88,7,63,55,42,88,Pass
89,3,95,65,80,47,Fail
90,1,62,39,69,90,Pass
91,2,94,77,68,60,Pass
92,8,59,46,59,76,Fail
93,5,72,94,48,40,Fail
94,5,41,72,56,31,Fail
95,6,78,32,55,88,Pass
96,1,73,87,51,59,Pass
97,5,56,39,65,45,Fail
98,5,91,54,40,74,Pass
99,1,87,61,69,62,Pass
100,6,65,82,64,70,Pass
101,1,86,61,98,34,Fail
102,9,55,63,52,54,Fail
103,4,82,34,93,69,Pass
104,3,90,96,34,68,Pass
105,3,82,66,88,99,Pass
106,9,79,69,35,31,Fail
107,9,58,92,36,62,Fail
108,9,94,36,46,55,Pass
109,5,78,35,37,90,Pass
110,9,41,95,85,96,Fail
111,2,86,34,73,66,Pass
112,2,61,53,88,72,Pass
113,4,86,76,39,87,Pass
114,6,90,78,96,63,Pass
